Plant_ID,Date,Humidity (%),TDS Value (ppm),pH Level,Growth Weeks,Growth Days,Temperature(C),Temperature (F),Humidity
2,8/20/2023,71,527,6.2,3,18,30.9,87.62,0.71
2,8/21/2023,51,704,6.3,3,19,30.2,86.36,0.51
2,8/22/2023,62,732,6.3,3,20,30.5,86.9,0.62
2,8/23/2023,69,420,6.5,3,21,30.8,87.44,0.69
2,8/24/2023,54,608,6.3,3,22,31.3,88.34,0.54
2,8/25/2023,58,687,6.3,3,23,31.4,88.52,0.58
2,8/26/2023,64,529,6.2,3,24,31.4,88.52,0.64
2,8/27/2023,78,427,6.3,4,25,30.1,86.18,0.78
2,8/28/2023,57,780,6.4,4,26,29.4,84.92,0.57
2,8/29/2023,57,508,6.2,4,27,28.7,83.66,0.57
2,8/30/2023,58,603,6.6,4,28,29.1,84.38,0.58
2,8/31/2023,56,581,6.7,4,29,29.2,84.56,0.56
2,09/01/2023,56,622,6.4,4,30,31.7,89.06,0.56
2,09/02/2023,73,598,6.5,4,31,31.7,89.06,0.73
2,09/03/2023,57,597,6.2,5,32,31.7,89.06,0.57
2,09/04/2023,61,498,6,5,33,31.7,89.06,0.61
2,09/05/2023,63,569,6.4,5,34,32,89.6,0.63
2,09/06/2023,75,697,6.3,5,35,32.1,89.78,0.75
2,09/07/2023,77,627,6.6,5,36,31.5,88.7,0.77
2,09/08/2023,61,537,6.6,5,37,29.8,85.64,0.61
2,09/09/2023,63,785,6.3,5,38,20.1,68.18,0.63
2,09/10/2023,70,428,6.7,6,39,31.1,87.98,0.7
2,09/11/2023,56,797,6.8,6,40,31.2,88.16,0.56
2,09/12/2023,66,657,6.8,6,41,31.2,88.16,0.66
2,9/13/2023,75,473,6.6,6,42,30.4,86.72,0.75
2,9/14/2023,72,689,6.3,6,43,29.1,84.38,0.72
2,9/15/2023,52,681,6.3,6,44,30.6,87.08,0.52
2,9/16/2023,79,719,6.7,6,45,31.5,88.7,0.79
3,08/03/2023,51,667,6.2,0,1,33.4,92.12,0.51
3,08/04/2023,63,632,6.1,0,2,33.5,92.3,0.63
3,08/05/2023,65,636,6.7,0,3,33.4,92.12,0.65
3,08/06/2023,62,525,6.6,1,4,33.4,92.12,0.62
3,08/07/2023,65,735,6,1,5,33.4,92.12,0.65
3,08/08/2023,80,794,6.4,1,6,32.3,90.14,0.8
3,08/09/2023,80,691,6.2,1,7,32.3,90.14,0.8
3,08/10/2023,65,783,6.6,1,8,22.7,72.86,0.65
3,08/11/2023,62,531,6.7,1,9,31.9,89.42,0.62
3,08/12/2023,69,473,6.4,1,10,30.2,86.36,0.69
3,8/13/2023,55,745,6.1,2,11,30.1,86.18,0.55
3,8/14/2023,80,569,6.3,2,12,30.1,86.18,0.8
3,8/15/2023,63,743,6.3,2,13,30.1,86.18,0.63
3,8/16/2023,69,566,6.1,2,14,29.8,85.64,0.69
3,8/17/2023,53,671,6.6,2,15,29.6,85.28,0.53
3,8/18/2023,58,643,6.4,2,16,30.9,87.62,0.58
3,8/19/2023,67,682,6.6,2,17,30.8,87.44,0.67
3,8/20/2023,79,467,6.3,3,18,30.9,87.62,0.79
3,8/21/2023,58,714,6.7,3,19,30.2,86.36,0.58
3,8/22/2023,80,726,6.6,3,20,30.5,86.9,0.8
3,8/23/2023,79,780,6.1,3,21,30.8,87.44,0.79
3,8/24/2023,55,545,6.4,3,22,31.3,88.34,0.55
3,8/25/2023,74,630,6.6,3,23,31.4,88.52,0.74
3,8/26/2023,53,491,6.4,3,24,31.4,88.52,0.53
3,8/27/2023,80,661,6.7,4,25,30.1,86.18,0.8
3,8/28/2023,75,535,6.1,4,26,29.4,84.92,0.75
3,8/29/2023,73,629,6.6,4,27,28.7,83.66,0.73
3,8/30/2023,73,738,6.6,4,28,29.1,84.38,0.73
3,8/31/2023,69,758,6.2,4,29,29.2,84.56,0.69
3,09/01/2023,76,799,6.3,4,30,31.7,89.06,0.76
3,09/02/2023,75,577,6.2,4,31,31.7,89.06,0.75
3,09/03/2023,69,439,6.3,5,32,31.7,89.06,0.69
3,09/04/2023,50,516,6.5,5,33,31.7,89.06,0.5
3,09/05/2023,72,741,6.8,5,34,32,89.6,0.72
3,09/06/2023,72,492,6,5,35,32.1,89.78,0.72
3,09/07/2023,75,762,6.2,5,36,31.5,88.7,0.75
3,09/08/2023,78,525,6,5,37,29.8,85.64,0.78
3,09/09/2023,80,428,6.5,5,38,20.1,68.18,0.8
3,09/10/2023,79,794,6.3,6,39,31.1,87.98,0.79
3,09/11/2023,73,460,6.7,6,40,31.2,88.16,0.73
3,09/12/2023,69,403,6.6,6,41,31.2,88.16,0.69
3,9/13/2023,54,480,6.7,6,42,30.4,86.72,0.54
3,9/14/2023,73,747,6.1,6,43,29.1,84.38,0.73
3,9/15/2023,58,479,6.7,6,44,30.6,87.08,0.58
3,9/16/2023,73,691,6.7,6,45,31.5,88.7,0.73
3,9/17/2023,75,517,6.4,7,46,30.5,86.9,0.75
3,9/18/2023,72,549,6.6,7,47,29.7,85.46,0.72
4,08/03/2023,62,547,6.7,0,1,33.4,92.12,0.62
4,08/04/2023,54,609,6.7,0,2,33.5,92.3,0.54
4,08/05/2023,60,794,6.3,0,3,33.4,92.12,0.6
4,08/06/2023,58,562,6,1,4,33.4,92.12,0.58
4,08/07/2023,57,726,6.1,1,5,33.4,92.12,0.57
4,08/08/2023,59,442,6.7,1,6,32.3,90.14,0.59
4,08/09/2023,65,598,6.4,1,7,32.3,90.14,0.65
4,08/10/2023,57,549,6.5,1,8,22.7,72.86,0.57
4,08/11/2023,69,785,6.7,1,9,31.9,89.42,0.69
4,08/12/2023,66,762,6.3,1,10,30.2,86.36,0.66
4,8/13/2023,70,419,6.1,2,11,30.1,86.18,0.7
4,8/14/2023,64,525,6.2,2,12,30.1,86.18,0.64
4,8/15/2023,66,608,6.7,2,13,30.1,86.18,0.66
4,8/16/2023,52,458,6.3,2,14,29.8,85.64,0.52
4,8/17/2023,59,571,6,2,15,29.6,85.28,0.59
4,8/18/2023,57,747,6.7,2,16,30.9,87.62,0.57
4,8/19/2023,77,518,6.7,2,17,30.8,87.44,0.77
4,8/20/2023,66,490,6.3,3,18,30.9,87.62,0.66
4,8/21/2023,71,502,6.7,3,19,30.2,86.36,0.71
4,8/22/2023,58,631,6.1,3,20,30.5,86.9,0.58
4,8/23/2023,58,735,6.4,3,21,30.8,87.44,0.58
4,8/24/2023,73,418,6.7,3,22,31.3,88.34,0.73
4,8/25/2023,63,740,6.1,3,23,31.4,88.52,0.63
4,8/26/2023,53,402,6.7,3,24,31.4,88.52,0.53
4,8/27/2023,66,652,6.6,4,25,30.1,86.18,0.66
4,8/28/2023,56,437,6.7,4,26,29.4,84.92,0.56
4,8/29/2023,73,558,6.5,4,27,28.7,83.66,0.73
4,8/30/2023,71,525,6.6,4,28,29.1,84.38,0.71
4,8/31/2023,63,604,6.5,4,29,29.2,84.56,0.63
4,09/01/2023,68,787,6.6,4,30,31.7,89.06,0.68
4,09/02/2023,71,711,6.8,4,31,31.7,89.06,0.71
4,09/03/2023,69,546,6.3,5,32,31.7,89.06,0.69
4,09/04/2023,71,485,6.2,5,33,31.7,89.06,0.71
4,09/05/2023,71,497,6.7,5,34,32,89.6,0.71
4,09/06/2023,51,577,6.1,5,35,32.1,89.78,0.51
4,09/07/2023,60,647,6.5,5,36,31.5,88.7,0.6
4,09/08/2023,78,564,6.2,5,37,29.8,85.64,0.78
4,09/09/2023,51,530,6.2,5,38,20.1,68.18,0.51
4,09/10/2023,63,543,6.3,6,39,31.1,87.98,0.63
4,09/11/2023,50,491,6.2,6,40,31.2,88.16,0.5
4,09/12/2023,72,729,6.6,6,41,31.2,88.16,0.72
4,9/13/2023,64,698,6.1,6,42,30.4,86.72,0.64
4,9/14/2023,62,530,6.8,6,43,29.1,84.38,0.62
4,9/15/2023,58,764,6.4,6,44,30.6,87.08,0.58
4,9/16/2023,63,654,6.7,6,45,31.5,88.7,0.63
4,9/17/2023,71,652,6.8,7,46,31.3,88.34,0.71
4,9/18/2023,63,754,6.1,7,47,30.8,87.44,0.63
4,9/19/2023,62,641,6.2,7,48,30.6,87.08,0.62
5,08/03/2023,67,651,6.3,0,1,33.4,92.12,0.67
5,08/04/2023,53,684,6.6,0,2,33.5,92.3,0.53
5,08/05/2023,54,449,6.1,0,3,33.4,92.12,0.54
5,08/06/2023,76,572,6.6,1,4,33.4,92.12,0.76
5,08/07/2023,67,571,6.7,1,5,33.4,92.12,0.67
5,08/08/2023,50,481,6.5,1,6,32.3,90.14,0.5
5,08/09/2023,74,558,6.7,1,7,32.3,90.14,0.74
5,08/10/2023,59,652,6.5,1,8,22.7,72.86,0.59
5,08/11/2023,54,637,6.7,1,9,31.9,89.42,0.54
5,08/12/2023,77,417,6.8,1,10,30.2,86.36,0.77
5,8/13/2023,79,429,6.2,2,11,30.1,86.18,0.79
5,8/14/2023,63,500,6.5,2,12,30.1,86.18,0.63
5,8/15/2023,75,675,6.8,2,13,30.1,86.18,0.75
5,8/16/2023,78,624,6.3,2,14,29.8,85.64,0.78
5,8/17/2023,65,525,6.3,2,15,29.6,85.28,0.65
5,8/18/2023,78,778,6,2,16,30.9,87.62,0.78
5,8/19/2023,68,678,6.1,2,17,30.8,87.44,0.68
5,8/20/2023,57,502,6.7,3,18,30.9,87.62,0.57
5,8/21/2023,67,766,6.1,3,19,30.2,86.36,0.67
5,8/22/2023,78,722,6.2,3,20,30.5,86.9,0.78
5,8/23/2023,61,460,6.2,3,21,30.8,87.44,0.61
5,8/24/2023,57,587,6.5,3,22,31.3,88.34,0.57
5,8/25/2023,53,646,6.2,3,23,31.4,88.52,0.53
5,8/26/2023,55,749,6.7,3,24,31.4,88.52,0.55
5,8/27/2023,52,468,6.7,4,25,30.1,86.18,0.52
5,8/28/2023,67,470,6.4,4,26,29.4,84.92,0.67
5,8/29/2023,58,565,6.5,4,27,28.7,83.66,0.58
5,8/30/2023,75,516,6.5,4,28,29.1,84.38,0.75
5,8/31/2023,54,410,6.6,4,29,29.2,84.56,0.54
5,09/01/2023,66,763,6.1,4,30,31.7,89.06,0.66
5,09/02/2023,56,413,6.4,4,31,31.7,89.06,0.56
5,09/03/2023,67,468,6.2,5,32,31.7,89.06,0.67
5,09/04/2023,66,422,6.5,5,33,31.7,89.06,0.66
5,09/05/2023,66,661,6.2,5,34,32,89.6,0.66
5,09/06/2023,72,605,6.2,5,35,32.1,89.78,0.72
5,09/07/2023,70,768,6.8,5,36,31.5,88.7,0.7
5,09/08/2023,65,645,6.3,5,37,29.8,85.64,0.65
5,09/09/2023,54,661,6.3,5,38,20.1,68.18,0.54
5,09/10/2023,76,573,6.4,6,39,31.1,87.98,0.76
5,09/11/2023,52,471,6.7,6,40,31.2,88.16,0.52
5,09/12/2023,72,738,6.2,6,41,31.2,88.16,0.72
5,9/13/2023,60,529,6.1,6,42,30.4,86.72,0.6
5,9/14/2023,58,576,6.2,6,43,29.1,84.38,0.58
5,9/15/2023,77,453,6.1,6,44,30.6,87.08,0.77
5,9/16/2023,80,483,6.5,6,45,31.5,88.7,0.8
6,08/03/2023,66,795,6.1,0,1,33.4,92.12,0.66
6,08/04/2023,77,738,6.5,0,2,33.5,92.3,0.77
6,08/05/2023,66,662,6.4,0,3,33.4,92.12,0.66
6,08/06/2023,56,653,6.3,1,4,33.4,92.12,0.56
6,08/07/2023,62,521,6.7,1,5,33.4,92.12,0.62
6,08/08/2023,65,482,6.7,1,6,32.3,90.14,0.65
6,08/09/2023,60,620,6.6,1,7,32.3,90.14,0.6
6,08/10/2023,74,740,6.6,1,8,22.7,72.86,0.74
6,08/11/2023,73,760,6.3,1,9,31.9,89.42,0.73
6,08/12/2023,71,485,6.4,1,10,30.2,86.36,0.71
6,8/13/2023,59,648,6.1,2,11,30.1,86.18,0.59
6,8/14/2023,64,490,6.6,2,12,30.1,86.18,0.64
6,8/15/2023,74,425,6.1,2,13,30.1,86.18,0.74
6,8/16/2023,78,755,6.8,2,14,29.8,85.64,0.78
6,8/17/2023,50,437,6.6,2,15,29.6,85.28,0.5
6,8/18/2023,59,666,6.4,2,16,30.9,87.62,0.59
6,8/19/2023,58,583,6.6,2,17,30.8,87.44,0.58
6,8/20/2023,56,568,6.2,3,18,30.9,87.62,0.56
6,8/21/2023,73,662,6.2,3,19,30.2,86.36,0.73
6,8/22/2023,63,553,6.5,3,20,30.5,86.9,0.63
6,8/23/2023,54,474,6.7,3,21,30.8,87.44,0.54
6,8/24/2023,51,596,6.5,3,22,31.3,88.34,0.51
6,8/25/2023,73,614,6.7,3,23,31.4,88.52,0.73
6,8/26/2023,52,500,6.2,3,24,31.4,88.52,0.52
6,8/27/2023,51,474,6.2,4,25,30.1,86.18,0.51
6,8/28/2023,76,515,6.5,4,26,29.4,84.92,0.76
6,8/29/2023,65,693,6,4,27,28.7,83.66,0.65
6,8/30/2023,68,782,6.2,4,28,29.1,84.38,0.68
6,8/31/2023,59,626,6.6,4,29,29.2,84.56,0.59
6,09/01/2023,77,512,6.5,4,30,31.7,89.06,0.77
6,09/02/2023,77,742,6.5,4,31,31.7,89.06,0.77
6,09/03/2023,53,757,6.5,5,32,31.7,89.06,0.53
6,09/04/2023,77,456,6.8,5,33,31.7,89.06,0.77
6,09/05/2023,64,642,6.4,5,34,32,89.6,0.64
6,09/06/2023,61,517,6.7,5,35,32.1,89.78,0.61
6,09/07/2023,56,701,6,5,36,31.5,88.7,0.56
6,09/08/2023,74,793,6.7,5,37,29.8,85.64,0.74
6,09/09/2023,55,490,6.5,5,38,20.1,68.18,0.55
6,09/10/2023,71,555,6.2,6,39,31.1,87.98,0.71
6,09/11/2023,56,549,6.5,6,40,31.2,88.16,0.56
6,09/12/2023,57,793,6.4,6,41,31.2,88.16,0.57
6,9/13/2023,68,491,6.6,6,42,30.4,86.72,0.68
6,9/14/2023,68,789,6.2,6,43,29.1,84.38,0.68
6,9/15/2023,61,741,6.3,6,44,30.6,87.08,0.61
6,9/16/2023,71,591,6.4,6,45,31.5,88.7,0.71
7,08/03/2023,74,459,6.5,0,1,33.4,92.12,0.74
7,08/04/2023,78,598,6.3,0,2,33.5,92.3,0.78
7,08/05/2023,51,507,6.1,0,3,33.4,92.12,0.51
7,08/06/2023,58,583,6.1,1,4,33.4,92.12,0.58
7,08/07/2023,75,555,6.2,1,5,33.4,92.12,0.75
7,08/08/2023,61,684,6.7,1,6,32.3,90.14,0.61
7,08/09/2023,64,769,6.1,1,7,32.3,90.14,0.64
7,08/10/2023,70,566,6,1,8,22.7,72.86,0.7
7,08/11/2023,68,763,6.5,1,9,31.9,89.42,0.68
7,08/12/2023,80,782,6.5,1,10,30.2,86.36,0.8
7,8/13/2023,68,432,6.4,2,11,30.1,86.18,0.68
7,8/14/2023,56,676,6.8,2,12,30.1,86.18,0.56
7,8/15/2023,52,780,6.5,2,13,30.1,86.18,0.52
7,8/16/2023,53,778,6.1,2,14,29.8,85.64,0.53
7,8/17/2023,58,491,6.6,2,15,29.6,85.28,0.58
7,8/18/2023,72,536,6.8,2,16,30.9,87.62,0.72
7,8/19/2023,60,701,6.3,2,17,30.8,87.44,0.6
7,8/20/2023,77,730,6.4,3,18,30.9,87.62,0.77
7,8/21/2023,51,619,6.3,3,19,30.2,86.36,0.51
7,8/22/2023,71,503,6.2,3,20,30.5,86.9,0.71
7,8/23/2023,58,503,6.2,3,21,30.8,87.44,0.58
7,8/24/2023,57,552,6.1,3,22,31.3,88.34,0.57
7,8/25/2023,77,617,6.5,3,23,31.4,88.52,0.77
7,8/26/2023,61,640,6.6,3,24,31.4,88.52,0.61
7,8/27/2023,55,600,6.5,4,25,30.1,86.18,0.55
7,8/28/2023,79,670,6.7,4,26,29.4,84.92,0.79
7,8/29/2023,63,541,6,4,27,28.7,83.66,0.63
7,8/30/2023,62,498,6.5,4,28,29.1,84.38,0.62
7,8/31/2023,80,426,6.6,4,29,29.2,84.56,0.8
7,09/01/2023,52,583,6.5,4,30,31.7,89.06,0.52
7,09/02/2023,67,696,6.7,4,31,31.7,89.06,0.67
7,09/03/2023,71,781,6.6,5,32,31.7,89.06,0.71
7,09/04/2023,79,436,6.7,5,33,31.7,89.06,0.79
7,09/05/2023,78,466,6.6,5,34,32,89.6,0.78
7,09/06/2023,76,472,6.5,5,35,32.1,89.78,0.76
7,09/07/2023,54,749,6.8,5,36,31.5,88.7,0.54
7,09/08/2023,54,645,6.4,5,37,29.8,85.64,0.54
7,09/09/2023,63,555,6.2,5,38,20.1,68.18,0.63
7,09/10/2023,53,545,6.2,6,39,31.1,87.98,0.53
7,09/11/2023,53,800,6.7,6,40,31.2,88.16,0.53
7,09/12/2023,52,468,6.7,6,41,31.2,88.16,0.52
7,9/13/2023,52,777,6.6,6,42,30.4,86.72,0.52
7,9/14/2023,60,459,6.6,6,43,29.1,84.38,0.6
7,9/15/2023,69,787,6,6,44,30.6,87.08,0.69
7,9/16/2023,72,508,6.3,6,45,31.5,88.7,0.72
7,9/17/2023,62,696,6.5,7,46,29.1,84.38,0.62
7,9/18/2023,58,600,6.2,7,47,30.5,86.9,0.58
8,08/03/2023,76,650,6,0,1,33.4,92.12,0.76
8,08/04/2023,77,457,6.3,0,2,33.5,92.3,0.77
8,08/05/2023,72,454,6.7,0,3,33.4,92.12,0.72
8,08/06/2023,71,673,6.4,1,4,33.4,92.12,0.71
8,08/07/2023,78,700,6,1,5,33.4,92.12,0.78
8,08/08/2023,63,588,6.7,1,6,32.3,90.14,0.63
8,08/09/2023,59,434,6.4,1,7,32.3,90.14,0.59
8,08/10/2023,60,708,6.6,1,8,22.7,72.86,0.6
8,08/11/2023,64,699,6.6,1,9,31.9,89.42,0.64
8,08/12/2023,55,403,6.6,1,10,30.2,86.36,0.55
8,8/13/2023,77,606,6.3,2,11,30.1,86.18,0.77
8,8/14/2023,57,763,6.3,2,12,30.1,86.18,0.57
8,8/15/2023,59,727,6.2,2,13,30.1,86.18,0.59
8,8/16/2023,51,649,6.4,2,14,29.8,85.64,0.51
8,8/17/2023,74,586,6.5,2,15,29.6,85.28,0.74
8,8/18/2023,70,415,6.6,2,16,30.9,87.62,0.7
8,8/19/2023,62,422,6.4,2,17,30.8,87.44,0.62
8,8/20/2023,76,781,6.5,3,18,30.9,87.62,0.76
8,8/21/2023,79,742,6.7,3,19,30.2,86.36,0.79
8,8/22/2023,53,715,6.1,3,20,30.5,86.9,0.53
8,8/23/2023,59,411,6,3,21,30.8,87.44,0.59
8,8/24/2023,67,553,6.1,3,22,31.3,88.34,0.67
8,8/25/2023,73,565,6.2,3,23,31.4,88.52,0.73
8,8/26/2023,79,619,6.3,3,24,31.4,88.52,0.79
8,8/27/2023,68,542,6.7,4,25,30.1,86.18,0.68
8,8/28/2023,54,559,6.2,4,26,29.4,84.92,0.54
8,8/29/2023,78,779,6.5,4,27,28.7,83.66,0.78
8,8/30/2023,72,630,6.4,4,28,29.1,84.38,0.72
8,8/31/2023,55,483,6.4,4,29,29.2,84.56,0.55
8,09/01/2023,61,775,6.6,4,30,31.7,89.06,0.61
8,09/02/2023,54,458,6.6,4,31,31.7,89.06,0.54
8,09/03/2023,76,438,6.5,5,32,31.7,89.06,0.76
8,09/04/2023,63,538,6.4,5,33,31.7,89.06,0.63
8,09/05/2023,75,697,6.7,5,34,32,89.6,0.75
8,09/06/2023,50,605,6.4,5,35,32.1,89.78,0.5
8,09/07/2023,75,555,6.6,5,36,31.5,88.7,0.75
8,09/08/2023,75,484,6.2,5,37,29.8,85.64,0.75
8,09/09/2023,69,763,6.8,5,38,20.1,68.18,0.69
8,09/10/2023,75,698,6.7,6,39,31.1,87.98,0.75
8,09/11/2023,76,720,6.5,6,40,31.2,88.16,0.76
8,09/12/2023,51,768,6.1,6,41,31.2,88.16,0.51
8,9/13/2023,78,472,6.2,6,42,30.4,86.72,0.78
8,9/14/2023,51,458,6.2,6,43,29.1,84.38,0.51
8,9/15/2023,50,632,6.2,6,44,30.6,87.08,0.5
8,9/16/2023,65,546,6.2,6,45,31.5,88.7,0.65
9,08/03/2023,72,693,6.4,0,1,33.4,92.12,0.72
9,08/04/2023,80,434,6,0,2,33.5,92.3,0.8
9,08/05/2023,70,671,6.3,0,3,33.4,92.12,0.7
9,08/06/2023,64,613,6.1,1,4,33.4,92.12,0.64
9,08/07/2023,79,731,6.3,1,5,33.4,92.12,0.79
9,08/08/2023,70,658,6.3,1,6,32.3,90.14,0.7
9,08/09/2023,62,538,6.6,1,7,32.3,90.14,0.62
9,08/10/2023,72,455,6.2,1,8,22.7,72.86,0.72
9,08/11/2023,62,646,6.7,1,9,31.9,89.42,0.62
9,08/12/2023,74,563,6.8,1,10,30.2,86.36,0.74
9,8/13/2023,80,791,6.4,2,11,30.1,86.18,0.8
9,8/14/2023,72,473,6.6,2,12,30.1,86.18,0.72
9,8/15/2023,52,602,6.3,2,13,30.1,86.18,0.52
9,8/16/2023,66,613,6.3,2,14,29.8,85.64,0.66
9,8/17/2023,63,613,6.7,2,15,29.6,85.28,0.63
9,8/18/2023,79,569,6.4,2,16,30.9,87.62,0.79
9,8/19/2023,73,610,6.5,2,17,30.8,87.44,0.73
9,8/20/2023,57,746,6.2,3,18,30.9,87.62,0.57
9,8/21/2023,66,607,6.1,3,19,30.2,86.36,0.66
9,8/22/2023,71,464,6.3,3,20,30.5,86.9,0.71
9,8/23/2023,70,474,6.1,3,21,30.8,87.44,0.7
9,8/24/2023,59,461,6.1,3,22,31.3,88.34,0.59
9,8/25/2023,61,667,6.2,3,23,31.4,88.52,0.61
9,8/26/2023,69,721,6.1,3,24,31.4,88.52,0.69
9,8/27/2023,50,775,6.6,4,25,30.1,86.18,0.5
9,8/28/2023,74,445,6.1,4,26,29.4,84.92,0.74
9,8/29/2023,78,635,6.5,4,27,28.7,83.66,0.78
9,8/30/2023,73,684,6.7,4,28,29.1,84.38,0.73
9,8/31/2023,54,784,6,4,29,29.2,84.56,0.54
9,09/01/2023,66,597,6.1,4,30,31.7,89.06,0.66
9,09/02/2023,77,501,6.4,4,31,31.7,89.06,0.77
9,09/03/2023,55,490,6.4,5,32,31.7,89.06,0.55
9,09/04/2023,55,468,6.2,5,33,31.7,89.06,0.55
9,09/05/2023,66,680,6.4,5,34,32,89.6,0.66
9,09/06/2023,70,561,6.7,5,35,32.1,89.78,0.7
9,09/07/2023,54,697,6,5,36,31.5,88.7,0.54
9,09/08/2023,61,629,6.7,5,37,29.8,85.64,0.61
9,09/09/2023,66,644,6.4,5,38,20.1,68.18,0.66
9,09/10/2023,69,726,6.7,6,39,31.1,87.98,0.69
9,09/11/2023,65,573,6.2,6,40,31.2,88.16,0.65
9,09/12/2023,80,793,6.6,6,41,31.2,88.16,0.8
9,9/13/2023,51,663,6.5,6,42,30.4,86.72,0.51
9,9/14/2023,67,516,6.3,6,43,29.1,84.38,0.67
9,9/15/2023,58,455,6.7,6,44,30.6,87.08,0.58
9,9/16/2023,78,722,6.1,6,45,31.5,88.7,0.78
9,9/17/2023,66,505,6.2,7,46,31.3,88.34,0.66
10,08/03/2023,66,503,6.5,0,1,33.4,92.12,0.66
10,08/04/2023,58,414,6.5,0,2,33.5,92.3,0.58
10,08/05/2023,76,679,6.1,0,3,33.4,92.12,0.76
10,08/06/2023,56,607,6.4,1,4,33.4,92.12,0.56
10,08/07/2023,53,527,6.3,1,5,33.4,92.12,0.53
10,08/08/2023,75,658,6.3,1,6,32.3,90.14,0.75
10,08/09/2023,72,623,6.7,1,7,32.3,90.14,0.72
10,08/10/2023,74,778,6.6,1,8,22.7,72.86,0.74
10,08/11/2023,67,512,6.4,1,9,31.9,89.42,0.67
